time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,payload_length,header_length,length_total,timestamps,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min
2020-04-25 01:13:36.747502+00:00,20000017,QBcAACCA95MKPGFGQiK0/PH0pvM5pdtqumQ=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,0.8,-1,10,37879,10.0,36,9,45,1587777216.747502,0.9455201625823976,51.82332639652186,45.0,274.0,1.0,6.0
2020-04-25 01:14:33.652314+00:00,20000009,QAkAACCA9pMKIS3Y+n0zxWlCptL0u6LjqeM=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-107,-4.8,-1,10,37878,10.0,36,9,45,1587777273.6523142,56.90481209754944,0.7907942815602038,45.0,139.0,1.0,3.0
2020-04-25 01:14:35.198081+00:00,26012de0,QOAtASaA4XAK8FQ9m2Dvv/zzb8gtrfZyrQ==,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-109,-3.5,-1,10,28897,10.0,36,9,45,1587777275.198081,1.545766830444336,29.111764538940584,45.0,135.0,1.0,3.0
2020-04-25 01:15:03.333950+00:00,2000000c,QAwAACCAoWQK09EUk9fvmNOC1rIG0b2McWw=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-107,-6.0,-1,10,25761,10.0,36,9,45,1587777303.33395,28.13586902618408,1.5993819120398112,45.0,135.0,1.0,3.0
2020-04-25 01:15:06.787949+00:00,2000000a,QAoAACCA95MK5sM1D7t6arnLfe+JEZLils8=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-108,-8.0,-1,10,37879,10.0,36,9,45,1587777306.787949,3.4539990425109863,13.02837651260202,45.0,180.0,1.0,4.0
2020-04-25 01:15:14.886571+00:00,20000002,QAIAACCA1pQKhvo2yLndQHqrghY2MY8+GJA=,0000024b0b031c97,1,868300000,12.0,125.0,4/5,-107,-15.5,-1,10,38102,10.0,36,9,45,1587777314.886571,8.098621845245361,5.556500952865104,45.0,225.0,1.0,5.0
2020-04-25 01:15:33.936781+00:00,2000000d,QA0AACCA+JMKNJUF7Mb9RXhu0vL6JFI15AdwP94=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-107,2.0,-1,10,37880,10.0,40,9,49,1587777333.9367812,19.05021023750305,2.3621786551946338,49.0,229.0,1.0,5.0
2020-04-25 01:15:53.954894+00:00,20000031,QDEAACCAvpUKaHjcCn852L7a/xvrNRxXE4s=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-111,-7.0,-1,10,38334,10.0,36,9,45,1587777353.954894,20.018112897872925,2.447783177664395,45.0,229.0,1.0,5.0
2020-04-25 01:17:05.932899+00:00,20000007,QAcAACCAzK8KoehrxzQj6MEQpS0GJ1wLjG3Lm+U=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-103,0.0,-1,10,45004,10.0,40,9,49,1587777425.932899,71.97800493240356,0.6251909877505035,49.0,49.0,1.0,1.0
2020-04-25 01:17:10.286811+00:00,20000003,QAMAACCAza8K3aS8PnpNF0d6lu80zfwjPZE=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-103,-0.5,-1,10,45005,10.0,36,9,45,1587777430.2868109,4.353911876678467,11.254247074330166,45.0,94.0,1.0,2.0
2020-04-25 01:17:11.571273+00:00,2000000c,QAwAACCA8ZMKU2aXfWAKTAUkrHH/QZRRlgI=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-111,-6.2,-1,10,37873,10.0,36,9,45,1587777431.5712729,1.2844619750976562,35.03412391525152,45.0,139.0,1.0,3.0
2020-04-25 01:17:42.264894+00:00,20000000,QAAAACCA9pMKW8kVIyHzWWFENXbzdwlMvEk=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-104,-8.5,-1,10,37878,10.0,36,9,45,1587777462.264894,30.693621158599854,1.4661026721961652,45.0,184.0,1.0,4.0
2020-04-25 01:18:21.576042+00:00,20000018,QBgAACCA+JMKJCYVgcLT1DIr6YbS/KLQ2vqRimA=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-108,-1.8,-1,10,37880,10.0,40,9,49,1587777501.576042,39.31114792823792,1.144713455891622,49.0,94.0,1.0,2.0
2020-04-25 01:18:33.890255+00:00,26012e76,QHYuASaAVdcKqZnyzF/iRCkZNtLq7LqtGQ==,0000024b0b031c97,1,868300000,12.0,125.0,4/5,-108,-10.8,-1,10,55125,10.0,36,9,45,1587777513.8902552,12.314213275909424,3.979141736635325,45.0,139.0,1.0,3.0
2020-04-25 01:18:37.265771+00:00,20000017,QBcAACCA+JMKrw1l5qxlvwhcGtMIDZ7U8bCbpSk=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-105,-7.2,-1,10,37880,10.0,40,9,49,1587777517.265771,3.3755156993865967,13.331296313679555,49.0,188.0,1.0,4.0
2020-04-25 01:18:59.922277+00:00,20000005,QAUAACCA+ZMKMx1/lZqy+6AT0HzFwf89Vl4=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-107,-0.8,-1,10,37881,10.0,36,9,45,1587777539.9222772,22.65650629997253,2.162734154650287,45.0,188.0,1.0,4.0
2020-04-25 01:19:05.544417+00:00,2000008b,QIsAACCAozUKmulghqMzV0qzJK8=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-5.2,-1,10,13731,10.0,28,9,37,1587777545.5444171,5.622139930725098,8.004069723358214,37.0,225.0,1.0,5.0
2020-04-25 01:19:35.338864+00:00,26012de0,QOAtASaA4nAK44VTQEWsP71GRQlnMug6oQ==,0000024b0b031c97,1,867100000,7.0,125.0,4/5,-108,-6.0,-1,10,28898,10.0,36,9,45,1587777575.338864,29.79444694519043,1.241842148238725,45.0,176.0,1.0,4.0
2020-04-25 01:20:07.305101+00:00,2000000a,QAoAACCA+JMKiwwkfGgrwDuNSQxJLg4T3TGl0Ps=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-104,-1.2,-1,10,37880,10.0,40,9,49,1587777607.3051012,31.96623706817627,1.407735289706632,49.0,94.0,1.0,2.0
2020-04-25 01:20:59.896425+00:00,20000034,QDQAACCAv5UKQRiKX5iq/udDLXsQMJlhgF0=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-107,-1.5,-1,10,38335,10.0,36,9,45,1587777659.896425,52.59132385253906,0.9317126174155878,45.0,94.0,1.0,2.0
2020-04-25 01:21:08.296118+00:00,2000000c,QAwAACCA+pMKP1I4m3cyFZ2MUa2evzjz1Mw=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-107,-2.5,-1,10,37882,10.0,36,9,45,1587777668.296118,8.399693012237549,5.357338647310003,45.0,90.0,1.0,2.0
2020-04-25 01:22:05.395178+00:00,20000007,QAcAACCAza8K3U0XCiRf9nDYGShEJgXHMkI=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-100,-8.2,-1,10,45005,10.0,36,9,45,1587777725.395178,57.09906005859375,0.7881040415345196,45.0,90.0,1.0,2.0
2020-04-25 01:22:10.270866+00:00,20000003,QAMAACCAzq8KoUAUpluInMD88zqWCj3eqtY=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-103,1.8,-1,10,45006,10.0,36,9,45,1587777730.270866,4.875687837600708,9.229467000115452,45.0,90.0,1.0,2.0
2020-04-25 01:23:34.032091+00:00,26012e76,QHYuASaAVtcKY4K0wCSKDG2AQwHimjNQeQ==,0000024b0b031c97,1,867700000,12.0,125.0,4/5,-110,-3.8,-1,10,55126,10.0,36,9,45,1587777814.032091,83.76122498512268,0.537241426543042,45.0,45.0,1.0,1.0
2020-04-25 01:23:35.236508+00:00,20000002,QAIAACDAypQKrw1FFa7QUdKrSqtfNGCkGLo=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-106,-3.8,-1,10,38090,10.0,36,9,45,1587777815.236508,1.2044169902801514,37.3624752582848,45.0,90.0,1.0,2.0
2020-04-25 01:24:19.351387+00:00,2000002b,QCsAACCAwJUKGxr7epnzPxUkRAk3FfpMq7zgVf0=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-110,-8.0,-1,10,38336,10.0,40,9,49,1587777859.3513868,44.11487889289856,1.0200640040121232,49.0,139.0,1.0,3.0
2020-04-25 01:25:06.759260+00:00,2000000a,QAoAACCA+ZMKH1bnalalkChRybZlKxfO3Qg=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-107,1.5,-1,10,37881,10.0,36,9,45,1587777906.75926,47.40787315368652,1.0335835957279107,45.0,94.0,1.0,2.0
2020-04-25 01:25:15.385618+00:00,20000002,QAIAACCA2JQK5nlwzBxLyK1keOrXCuerbcwLm+A=,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-97,-10.2,-1,10,38104,10.0,40,9,49,1587777915.385618,8.626358032226562,5.216569939699683,49.0,143.0,1.0,3.0
2020-04-25 01:25:33.373369+00:00,2000000d,QA0AACCA+pMKLOHWvr97NAyfhE/XmWyddgk=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-102,-5.8,-1,10,37882,10.0,36,9,45,1587777933.373369,17.987751007080078,2.724075954838008,45.0,139.0,1.0,3.0
2020-04-25 01:26:08.279390+00:00,2000000c,QAwAACCA+5MK8JMDoFpoIaRIG5ZjmUVB0eg=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-106,-3.5,-1,10,37883,10.0,36,9,45,1587777968.27939,34.90602087974548,1.2891758747016515,45.0,139.0,1.0,3.0
2020-04-25 01:26:34.495581+00:00,2000000b,QAsAACCA+pMKRHwZGQH/8zSW+BYzrH5Of5I=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-103,-1.2,-1,10,37882,10.0,36,9,45,1587777994.495581,26.216191053390503,1.7164964928869868,45.0,90.0,1.0,2.0
2020-04-25 01:27:00.115396+00:00,20000001,QAEAACCA2JQKn1j3uLnmW5j8qmmqW45m0VhkxhQ=,0000024b0b031c97,1,868500000,12.0,125.0,4/5,-107,-13.2,-1,10,38104,10.0,40,9,49,1587778020.115396,25.61981511116028,1.7564529566178444,49.0,139.0,1.0,3.0
2020-04-25 01:27:05.380194+00:00,20000007,QAcAACCAzq8KVd0DQmAnls9T9ZYp/ORCM+o=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-105,0.8,-1,10,45006,10.0,36,9,45,1587778025.380194,5.264797925949097,9.307099852491806,45.0,184.0,1.0,4.0
2020-04-25 01:27:07.581793+00:00,14000006,QAYAABSAJLEKOqRf6MLWWEUkXQv/44x3LzJyV6g=,0000024b0b031c97,1,868500000,12.0,125.0,4/5,-111,-12.5,-1,10,45348,10.0,40,9,49,1587778027.581793,2.20159912109375,20.43968839233733,49.0,233.0,1.0,5.0
2020-04-25 01:27:29.263714+00:00,200000f0,QPAAACCApTUKekiBVUdMA2TnffE=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-107,-4.0,-1,10,13733,10.0,28,9,37,1587778049.263714,21.681921005249023,2.259947353748659,37.0,225.0,1.0,5.0
2020-04-25 01:27:55.972327+00:00,20000012,QBIAACCA+pMKSZGcSM7PGLcX8NOGh2V8GPQ=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-106,-4.5,-1,10,37882,10.0,36,9,45,1587778075.972327,26.70861291885376,1.385320911737857,45.0,225.0,1.0,5.0
2020-04-25 01:28:34.173948+00:00,26012e76,QHYuASaAV9cKtWSDKbpqInD3bbS1pktS1A==,0000024b0b031c97,1,867900000,12.0,125.0,4/5,-109,-1.5,-1,10,55127,10.0,36,9,45,1587778114.1739478,38.20162081718445,1.177960490612414,45.0,90.0,1.0,2.0
2020-04-25 01:28:43.974016+00:00,20000001,QAEAACCA+pMK1GB7LCFmgmJUm0ayxhiiovQ=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-0.8,-1,10,37882,10.0,36,9,45,1587778123.974016,9.800068140029907,4.591804807579907,45.0,135.0,1.0,3.0
2020-04-25 01:28:52.627731+00:00,20000001,QAEAACCA3LAKDH2hg4kYR+S/sbJDKz4qj2tSwjg=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-5.8,-1,10,45276,10.0,40,9,49,1587778132.6277308,8.653714895248413,5.200078873029273,49.0,184.0,1.0,4.0
2020-04-25 01:29:17.126611+00:00,20000001,QAEAACDA+ZMKfxag28vvcX0li6/LW1S8gAg=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-106,1.0,-1,10,37881,10.0,36,9,45,1587778157.126611,24.49888014793396,2.000091420673866,45.0,184.0,1.0,4.0
2020-04-25 01:29:33.609086+00:00,20000009,QAkAACCA+ZMKqefewF4dfetqkqFrq8uAdOQ=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-108,-5.5,-1,10,37881,10.0,36,9,45,1587778173.609086,16.48247504234314,2.730172494385456,45.0,229.0,1.0,5.0
2020-04-25 01:29:35.621316+00:00,26012de0,QOAtASaA5HAKdu3lc8e/V+E9N9D4sV2ClA==,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-3.8,-1,10,28900,10.0,36,9,45,1587778175.6213162,2.012230157852173,22.36324697967572,45.0,229.0,1.0,5.0
2020-04-25 01:29:58.064294+00:00,14000002,QAIAABSAJLEKrfryBfOckt3vrS/6fxVK3fNgiwI=,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-111,-12.5,-1,10,45348,10.0,40,9,49,1587778198.064294,22.44297766685486,2.005081530088528,49.0,184.0,1.0,4.0
2020-04-25 01:30:06.744921+00:00,2000000a,QAoAACCA+pMKTgsXkEfTO2mkN9yQ1AtED9k=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-107,1.5,-1,10,37882,10.0,36,9,45,1587778206.744921,8.68062710762024,5.644753471438213,45.0,229.0,1.0,5.0
2020-04-25 01:30:59.866328+00:00,20000034,QDQAACCAwZUK8rejHLOHi315wE5ToxnnuSc=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-105,0.5,-1,10,38337,10.0,36,9,45,1587778259.866328,53.12140703201294,0.8471161159733838,45.0,90.0,1.0,2.0
2020-04-25 01:31:08.797045+00:00,2000000c,QAwAACCA/JMKXSem2cXa2awMEpQEVsBFJupWVms=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-103,-7.0,-1,10,37884,10.0,40,9,49,1587778268.797045,8.93071699142456,5.03878916364832,49.0,94.0,1.0,2.0
2020-04-25 01:31:34.479962+00:00,2000000b,QAsAACCA+5MKRXLNy1WgFeoJY321kuqSfh4=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-101,2.8,-1,10,37883,10.0,36,9,45,1587778294.479962,25.68291711807251,1.9078829626218652,45.0,139.0,1.0,3.0
2020-04-25 01:31:52.319285+00:00,2000002c,QCwAACCAwpUKFKBj/DOthqxw+BXoPfi8x0k=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-109,-4.5,-1,10,38338,10.0,36,9,45,1587778312.319285,17.839322805404663,2.5225172777504,45.0,184.0,1.0,4.0
